Glacier Name (FINAL),Country,State/Province/First Order Administrative Area,Latitude,Longitude,Coverage Spatial,GLIMS ID,Historical or Variant Name,Documentation Notes - CLEAN,Documentation Notes
Mount Thompson,United States,Montana,48.5458243,-113.6880145,"Thompson, Mount (Flathead, Montana, United States, North America) (peak)",,,coordinates GNIS; coverage Getty; no glims 8/20/18 AM,coordinates GNIS; coverage Getty; no glims 8/20/18 AM
Mount Tronador,Argentina,Rio Negro,-41.166667,-71.9,"Tronador, Mount (Rio Negro, Argentina, South America) (mountain)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Mount Veniaminof,United States,Alaska,56.2013889,-159.3136111,"Veniaminof, Mount (Lake and Peninsula, Alaska, United States, North America) (summit)",,Veniaminof Crater; Veniaminof Volcano,coordinates GNIS; coverage built; no glims 1/16/19 AM,coordinates GNIS; coverage built; no glims 1/16/19 AM
Mount Verrett,Canada,British Columbia,56.730278,-131.048889,"Verrett, Mount (Cassiar Land District, British Columbia, Canada, North America) (mountain)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Mount Vsevidof,United States,Alaska,53.1241667,-168.69,"Vsevidof, Mount (Umnak Island, Fox Islands, Aleutian Islands, Aleutians West, Alaska, United States, North America) (mountain) ",,Mount Recheshnoi; Vsevidof Volcano,"coordinates GNIS; coverage Getty 3/29/18 AM
Additional coverage: Umnak Island (Fox Islands, Aleutian Islands, Aleutian Islands, Alaska, United States) (island)","coordinates GNIS; coverage Getty 3/29/18 AM
Additional coverage: Umnak Island (Fox Islands, Aleutian Islands, Aleutian Islands, Alaska, United States) (island)"
Mount Waskey,United States,Alaska,59.7627778,-159.2225,"Waskey, Mount (Dillingham, Alaska, United States, North America) (mountain)",,,coordinates GNIS; coverage Getty; no glims 4/2/18 AM,coordinates GNIS; coverage Getty; no glims 4/2/18 AM
Mount Wilse,United States,Montana,45.1318857,-109.8668457,"Wilse, Mount (Park, Montana, United States, North America) (peak)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Mount Witherspoon,United States,Alaska,61.3952778,-147.2013889,"Witherspoon, Mount (Valdez-Cordova, Alaska, United States, North America) (mountain)",,,Washburn spreadsheet / Athea 8/2018,Washburn spreadsheet / Athea 8/2018
Mount Wood,United States,Alaska,58.5455426,-136.4413798,"Wood, Mount (Skagway - Hoonah-Angoon, Alaska, United States, North America) (peak)",,,coordinates GNIS / coverage Getty / no GLIMS / 10/30/2018 EB - Mount Fairweather C-2,coordinates GNIS / coverage Getty / no GLIMS / 10/30/2018 EB - Mount Fairweather C-2
Mount Wood Glacier,Canada,Yukon,61.3166667,-140.5833333,"Mount Wood Glacier (Yukon, Canada, North America) (glacier)",,,Natural Resources Canada / No Getty / No GLIMS / 2018/08/21 KF,Natural Resources Canada / No Getty / No GLIMS / 2018/08/21 KF
Mount Wrangell,United States,Alaska,62.0069444,-144.0158333,"Wrangell, Mount (Valdez-Cordova, Alaska, United States, North America) (mountain)",,,Washburn spreadsheet / Athea 8/2018,Washburn spreadsheet / Athea 8/2018
Mount Wright (Hoonah-Angoon),United States,Alaska,58.70278,-137.21667,"Wright, Mount (Hoonah-Angoon, Alaska, United States, North America) (mountain)",,,coordinates & coverage GeoNames 2/10/19 AM,coordinates & coverage GeoNames 2/10/19 AM
Mount Zara ,Canada,British Columbia,56.466667,-131.051667,"Zara, Mount (Cassiar Land District, British Columbia, Canada, North America) (mountain)",,,coordinates Natural Resources Canada / coverage built-verified with Natural Resources Canada / no GLIMS / 10/30/2018 EB,coordinates Natural Resources Canada / coverage built-verified with Natural Resources Canada / no GLIMS / 10/30/2018 EB
Mount Zirkel ,United States,Colorado,40.831208,-106.663105,"Zirkel, Mount (Routt - Jackson, Colorado, United States, North America) (mountain)",,,GNIS / Constructed / No GLIMS / 11/21/2018 KF,GNIS / Constructed / No GLIMS / 11/21/2018 KF
Mt. McKinley Glaciers,,,,,,,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Mud Glacier (British Columbia),Canada,British Columbia,57,-131.86667,"Mud Glacier (Cassiar Land District, British Columbia, Canada, North America) (glacier)",,,coordinates Canada Place Names / coverage Canada Place Names / GLIMS unverified 10/4/18 SB (A second Mud Glacier is listed in British Columbia in Kootenay Land District. Need to verify that the Cassiar Land District Mud Glacier is the correct one.),coordinates Canada Place Names / coverage Canada Place Names / GLIMS unverified 10/4/18 SB (A second Mud Glacier is listed in British Columbia in Kootenay Land District. Need to verify that the Cassiar Land District Mud Glacier is the correct one.)
Mueller Glacier,New Zealand,Canterbury,-43.747278,170.020417,"Mueller Glacier (Canterbury, New Zealand, Oceania) (glacier)",G170016E43750S,,"NGA GeoNames / Constructed / GLIMS & Sirguey (correlations list) / 2/8/2018 KF 
GLIMS ID shared (Mueller, Welchma)","NGA GeoNames / Constructed / GLIMS & Sirguey (correlations list) / 2/8/2018 KF 
GLIMS ID shared (Mueller, Welchma)"
Muir Glacier,United States,Alaska,59.07830,-136.36060,"Muir Glacier (Skagway - Hoonah-Angoon, Alaska, United States, North America) (glacier)",G223569E59190N,,coordinates NSIDC database; coverage Getty; glims verified North America added 9/27/18 AM zeros added to end of coordinates,coordinates NSIDC database; coverage Getty; glims verified North America added 9/27/18 AM zeros added to end of coordinates
Muir Inlet,United States,Alaska,59.0913889,-136.3780556,"Muir Inlet (Skagway - Hoonah-Angoon, Alaska, United States, North America) (bay)",,,coordinates GNIS; coverage Getty verified 2/13/18 AM North America added 9/27/18 AM ,coordinates GNIS; coverage Getty verified 2/13/18 AM North America added 9/27/18 AM 
Muir Pass,United States,California,37.1116032,-118.6706636,"Muir Pass (Fresno, California, United States, North America) (gap)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Muir Point,United States,Alaska,58.8269444,-136.0772222,"Muir Point (Skagway - Hoonah-Angoon, Alaska, United States, North America) (cape)",,,GNIS / Getty / No GLIMS / 11/21/2018 KF,GNIS / Getty / No GLIMS / 11/21/2018 KF
Muldrow Glacier,United States,Alaska,63.0812561,-151.0130082,"Muldrow Glacier (Denali, Alaska, United States, North America) (glacier)",,,coordinates GNIS map Denali A3; coverage built; no glims found 11/20/18 AM,coordinates GNIS map Denali A3; coverage built; no glims found 11/20/18 AM
Murchison Glacier,New Zealand,Canterbury,-43.564,170.378,"Murchison Glacier (Canterbury, New Zealand, Oceania) (glacier)",G170406E43522S,,"NGA GeoNames / Constructed / GLIMS & Sirguey (correlations list) / 2/8/2018 KF 
GLIMS ID shared (Murchison, Baker)","NGA GeoNames / Constructed / GLIMS & Sirguey (correlations list) / 2/8/2018 KF 
GLIMS ID shared (Murchison, Baker)"
Murtel Glacier,Switzerland,Graubünden,46.4135,9.81389,"Vadret dal Murtel (Graubünden, Switzerland, Europe) (glacier)",G009814E46414N,Vadret dal Murtel,coordinates & glims WGMS csv; coverage built unable to find town 11/11/18 AM,coordinates & glims WGMS csv; coverage built unable to find town 11/11/18 AM
Mutt Glacier,Switzerland,Valais,46.548335,8.421754,"Muttgletscher (Oberwald, Valais, Switzerland, Europe) (glacier)",G008421E46549N,Mutt Glacier,coordinates conversion from Swiss Glaciers and TopoMap / coverage Swiss Glaciers / GLIMS verified / 10/30/2018 EB - town added to coverage coordinates changed to Swiss Glaciers 11/07/18 AM,coordinates conversion from Swiss Glaciers and TopoMap / coverage Swiss Glaciers / GLIMS verified / 10/30/2018 EB - town added to coverage coordinates changed to Swiss Glaciers 11/07/18 AM
Nabesna Glacier,United States,Alaska,62.0078679,-143.0214588,"Nabesna Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G216705E61883N,,GNIS - Nebesna map name A-5 / Getty / GLIMS / 2/6/2018 KF,GNIS - Nebesna map name A-5 / Getty / GLIMS / 2/6/2018 KF
Nadina Glacier,United States,Alaska,62.1479026,-144.6977896,"Nadina Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G215302E62148N,,coordinates GNIS; coverage Getty; glims verified 11/20/18 AM,coordinates GNIS; coverage Getty; glims verified 11/20/18 AM
Nansen Glacier,Greenland,,75.7167,-58.6667,"Nansen Glacier (Greenland, North America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Narsarsuaq (Airport) [Narsarsuaq Air Base],Greenland,Kujalleq,61.16066,-45.42578,"Narsarsuaq [Narsarsuaq Air Base] (Kujalleq, Greenland, North America) (airport)",,Narsarsuaq Air Base; BW-1,"NGA GeoNames / No Getty / No GLIMS / KF - coordinates are for Narsarsuaq (airport), also known as BW-1 while it was Narsarsuaq Air Base (handed over to the Danish government in 1958, U.S. Air Base from 1942-1958)","NGA GeoNames / No Getty / No GLIMS / KF - coordinates are for Narsarsuaq (airport), also known as BW-1 while it was Narsarsuaq Air Base (handed over to the Danish government in 1958, U.S. Air Base from 1942-1958)"
Narsarsuaq (populated area),Greenland,Kujalleq,61.166667,-45.416667,"Narsarsuaq (Kujalleq, Greenland, North America) (inhabited place)",,Narsarssauk,NGA GeoNames / Constructed / No GLIMS / KF,NGA GeoNames / Constructed / No GLIMS / KF
Nass River,Canada,British Columbia,54.976944,-129.889444,"Nass River (Range 5 Coast Land District, British Columbia, Canada, North America) (river)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Natoas Peak,United States,Montana,48.8748644,-113.7634037,"Natoas Peak (Glacier, Montana, United States, North America) (peak)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Navajo Glacier,United States,Colorado,40.055833,-105.646389,"Navajo Glacier (Boulder, Colorado, United States, North America) (glacier)",G254353E40055N,,GNIS / constructed / 2/5/2018 KF,GNIS / constructed / 2/5/2018 KF
Neacola Glacier,United States,Alaska,60.9985,-153.28183,"Neacola Glacier (Kenai Peninsula - Lake and Peninsula, Alaska, United States, North America) (glacier)",G206602E60817N,,coordinates NSIDC; coverage built; glims verified 11/20/18 AM,coordinates NSIDC; coverage built; glims verified 11/20/18 AM
Nef Glacier,Chile,,-47.1,-73.28,"Nef Glacier (Chile, South America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Nelchina Glacier,United States,Alaska,61.5578062,-146.9261023,"Nelchina Glacier (Valdez-Cordova - Matanuska-Susitna, Alaska, United States, North America) (glacier)",G213026E61566N,,GNIS / Constructed / GLIMS / 2018/08/20 KF,GNIS / Constructed / GLIMS / 2018/08/20 KF
Nellie Juan Glacier,United States,Alaska,60.4555556,-148.3758333,"Nellie Juan Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G211513E60431N,,coordinates GNIS; coverage Getty; glims verified 3/29/18 AM,coordinates GNIS; coverage Getty; glims verified 3/29/18 AM
Nelson Glacier,United States,Alaska,56.500761,-132.0233009,"Nelson Glacier (Wrangell-Petersburg, Alaska, United States, North America) (glacier)",G227977E56501N,,GNIS / Getty / GLIMS 10/4/18 SB - Petersburg C-1,GNIS / Getty / GLIMS 10/4/18 SB - Petersburg C-1
Nenana Glacier,United States,Alaska,63.4917,-147.7958,"Nenana Glacier (Denali, Alaska, United States, North America) (glacier)",G212367E63538N,,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM
Nenana River,United States,Alaska,64.5647222,-149.105,"Nenana River (Denali, Alaska, United States, North America) (river)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Neola Glacier,India,Uttarakhand,30.2318,80.4957,"Neola Glacier (Uttarakhand, India, Asia) (glacier)",,,"Possibly Meola Glacier, but can't verify given data. WGMS coordinates in the app are similar, but far enough off to throw some doubt on which glacier.","Possibly Meola Glacier, but can't verify given data. WGMS coordinates in the app are similar, but far enough off to throw some doubt on which glacier."
Nesham Glacier,Canada,Yukon,61.3833333,-140.85,"Nesham Glacier (Yukon, Canada, North America) (glacier)",,,Natural Resources Canada / Getty (none) / GLIMS (none) / 2018/08/21 KF,Natural Resources Canada / Getty (none) / GLIMS (none) / 2018/08/21 KF
Nevado Salcantay,Peru,Cusco,-13.332478,-72.547075,"Nevado Salcantay (Cusco, Peru, South America) (mountain)",,Nevado Salccantay; Sargantai; Nevado Sarkantay; Cerro Salcantay,NGA GeoNames / Constructed / No GLIMS / 2/25/2019 KF,NGA GeoNames / Constructed / No GLIMS / 2/25/2019 KF
Nevado Verónica,Peru,Cusco,-13.164167,-72.326111,"Nevado Verónica (Cusco, Peru, South America) (mountain)",,,NGA GeoNames / Constructed / No GLIMS / 2/25/2019 KF,NGA GeoNames / Constructed / No GLIMS / 2/25/2019 KF
Nevados Chopicallqui,Peru,Ancash,-9.087637,-77.573644,"Nevados Chopicallqui (Ancash, Peru, South America) (mountain)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Neve Glacier,United States,Washington,48.6462382,-121.141231,"Neve Glacier (Whatcom - Skagit, Washington, United States, North America) (glacier)",G238856E48653N,,GNIS / coverage combined counteis from GNIS - also in Getty with no county listed / GLIMS 10/19/18 SB - Diablo Dam,GNIS / coverage combined counteis from GNIS - also in Getty with no county listed / GLIMS 10/19/18 SB - Diablo Dam
,New Zealand,,,,New Zealand (Oceania) (islands),,,General coverage for country.,
Newton Clark Glacier,United States,Oregon,45.3667845,-121.6867426,"Newton Clark Glacier (Hood River, Oregon, United States, North America) (glacier)",G238324E45359N,,coordinates GNIS; coverage Getty; GLIMS verified 2/6/18 AM,coordinates GNIS; coverage Getty; GLIMS verified 2/6/18 AM
Ngga Pilimsit,Indonesia,Papua,-4.035556,137.059167,"Ngga Pilimsit (Papua, Indonesia, Oceania) (peak)",,,NGA GeoNames / constructed / no GLIMS / 11/6/2018 KF,NGA GeoNames / constructed / no GLIMS / 11/6/2018 KF
Ngga Pulu,Indonesia,Papua,-4.064167,137.181944,"Ngga Pulu (Paupa, Indonesia, Oceania) (peak)",,Ngga Poeloe,NGA GeoNames / constructed / no GLIMS / 11/6/2018 KF,NGA GeoNames / constructed / no GLIMS / 11/6/2018 KF
Ngojumba Glacier,Nepal,,28.015,86.771,"Ngojumba Glacier (Nepal, Asia) (glacier)",G086771E28015N,Ngozumpa,NSIDC coordinates / Constructed / GLIMS verified / 10/30/2018 EB -KF verified,NSIDC coordinates / Constructed / GLIMS verified / 10/30/2018 EB -KF verified
Nigardsbræ Glacier,Norway,Sogn og Fjordane,61.683333,7.2,"Nigardsbreen (Sogn og Fjordane, Norway, Europe) (glacier)",G007099E61715N,Nigardsbreen Glacier; Nigardsbræ,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 10/22/18 SB,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 10/22/18 SB
Nisqually Glacier,United States,Washington,46.8292,-121.7419,"Nisqually Glacier (Pierce, Washington, United States, North America) (glacier)",G238260E46822N,,coordinates NSIDC database; coverage Getty; glims verified 2/26/18 AM,coordinates NSIDC database; coverage Getty; glims verified 2/26/18 AM
Niwot Ridge,United States,Colorado,40.0597085,-105.6169466,"Niwot Ridge (Boulder, Colorado, United States, North America) (ridge)",,,coordinates GNIS / coverage Getty / no GLIMS / 10/30/2018 EB - Ward,coordinates GNIS / coverage Getty / no GLIMS / 10/30/2018 EB - Ward
Nizina Glacier,United States,Alaska,61.8033883,-142.5992477,"Nizina Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G217402E61803N,,GNIS / Constructed / GLIMS / 2018/08/20 KF,GNIS / Constructed / GLIMS / 2018/08/20 KF
Nohokomeen Glacier,United States,Washington,48.7798538,-120.9681738,"Nohokomeen Glacier (Whatcom, Washington, United States, North America) (glacier)",G239032E48780N,,GNIS / Getty / GLIMS 10/03/2018 SB - Katie researched: jack1966092001.tif is Nohokomeen Glacier on Jack Mountain.,GNIS / Getty / GLIMS 10/03/2018 SB - Katie researched: jack1966092001.tif is Nohokomeen Glacier on Jack Mountain.
East Nooksack Glacier,United States,Washington,48.8285645,-121.5644583,"East Nooksack Glacier (Whatcom, Washington, United States, North America) (glacier)",G238431E48830N,,coordinates NSIDC; coverage built; glims verified 11/20/18 AM,coordinates NSIDC; coverage built; glims verified 11/20/18 AM
Nordenskiolds Glacier,Greenland,,75.6333,-59.0833,"Nordenskiolds Glacier (Greenland, North America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Norris Glacier,United States,Alaska,58.4389,-134.1842,"Norris Glacier (Juneau, Alaska, United States, North America) (glacier)",G225744E58474N,,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM
,,,,,North America (continent),,,General coverage for continent.,
North Crillon Glacier,United States,Alaska,58.6319925,-137.4053575,"North Crillon Glacier (Skagway - Hoonah-Angoon, Alaska, United States, North America) (glacier)",G222595E58620N; G222718E58631N,,coordinates USGS map Mount Fairweather C5; coverage built; glims verified 11/20/18 AM; GNIS / Washburn spreadsheet / Athea 8/2018,coordinates USGS map Mount Fairweather C5; coverage built; glims verified 11/20/18 AM; GNIS / Washburn spreadsheet / Athea 8/2018
North Dawes Glacier,United States,Alaska,57.6398222,-132.9287152,"North Dawes Glacier (Petersburg - Hoonah-Angoon, Alaska, United States, North America) (glacier)",G227071E57640N,,"coordinates GNIS map name Sumdum C-3; coverage built from GNIS; glims verified 8/20/18 AM
Removing British Columbia, Canada from information. This is recorded in previous NSIDC records. Doing this because all photos were taken by W.O. Field from a boat in Alaska. No North Dawes Glacier information found in Natural Resources Canada. Report by Bruce Molnia doe snot verify that glacier heads in British Columbia (USGS report K1386 pages K100 -K101) 8/20/18 AM","coordinates GNIS map name Sumdum C-3; coverage built from GNIS; glims verified 8/20/18 AM
Removing British Columbia, Canada from information. This is recorded in previous NSIDC records. Doing this because all photos were taken by W.O. Field from a boat in Alaska. No North Dawes Glacier information found in Natural Resources Canada. Report by Bruce Molnia doe snot verify that glacier heads in British Columbia (USGS report K1386 pages K100 -K101) 8/20/18 AM"
North Fork Big Pine Creek,United States,California,,,"North Fork Big Pine Creek (Inyo, California, United States, North America) (creek)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
North Fork Glacier,United States,Alaska,60.77583,-153.48577,"Alaska (United States, North America) (state)",,,coordinates NSIDC; coverage built; unable to determine actual glacier location or area in AK. leave coverage as is. No glims ID. 3/12/18 AM,coordinates NSIDC; coverage built; unable to determine actual glacier location or area in AK. leave coverage as is. No glims ID. 3/12/18 AM
North Fork Little Laramie River,United States,Wyoming,41.3888591,-106.2491807,"North Fork Little Laramie River (Albany, Wyoming, United States, North America) (river)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
North Guardian Glacier,United States,Washington,48.100854,-121.0993884,"North Guardian Glacier (Snohomish, Washington, United States, North America) (glacier)",G238909E48123N,,GNIS / Getty / GLIMS / KF 6/26/2018,GNIS / Getty / GLIMS / KF 6/26/2018
North Klawatti Glacier,United States,Washington,48.565405,-121.0776158,"North Klawatti Glacier (Skagit, Washington, United States, North America) (glacier)",G238908E48572N,Inspiration Glacier; Klawatti Glacier,GNIS / Getty / GLIMS 10/19/18 SB,GNIS / Getty / GLIMS 10/19/18 SB
North Mowich Glacier,United States,Washington,46.8806628,-121.8045437,"North Mowich Glacier (Pierce, Washington, United States, North America) (glacier)",G238191E46881N,,GNIS / Getty / GLIMS / 4/2/2018 KF,GNIS / Getty / GLIMS / 4/2/2018 KF
North Peak,United States,California,37.982191,-119.3150718,"North Peak (Tuolumne, California, United States, North America) (peak)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
North Pole,Arctic Ocean,,90,0,North Pole (Arctic Ocean),,,KF - determined after research and consultation with Athea. No Getty place type because it is a point (concept) and not an identifiable geographic feature.,KF - determined after research and consultation with Athea. No Getty place type because it is a point (concept) and not an identifiable geographic feature.
North Sister,United States,Oregon,44.1665277,-121.7722684,"North Sister (Lane, Oregon, United States, North America) (peak)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
North Swiftcurrent Glacier,United States,Montana,48.7880811,-113.7676504,"North Swiftcurrent Glacier (Glacier, Montana, United States, North America) (glacier)",G246234E48788N,,coordinates GNIS; Getty; glims verified 4/10/18 AM,coordinates GNIS; Getty; glims verified 4/10/18 AM
Northern Patagonia Glaciers,Chile; Argentina,,-47.33,-73.43,"Northern Patagonia Glaciers (Chile, South America) - (Argentina, South America) (region)",,,GPC coordinates / constructed / No GLIMS / 11/7/2018 KF - Covers any number of glaciers under the Glaciers Northern Ice Field section (see image in link for names and locations). ,GPC coordinates / constructed / No GLIMS / 11/7/2018 KF - Covers any number of glaciers under the Glaciers Northern Ice Field section (see image in link for names and locations). 
Northland Glacier,United States,Alaska,60.6574301,-148.7674255,"Northland Glacier (Kenai Peninsula, Alaska, United States, North America) (glacier)",G211232E60657N,,coordinates GNIS; coverage Getty; glims verified 3/12/18 AM,coordinates GNIS; coverage Getty; glims verified 3/12/18 AM
Northwall Firn,Indonesia,Papua,-4.052778,137.166944,"Northwall Firn (Papua, Indonesia, Oceania) (glacier)",G137158E04048S,,"NGA GeoNames / Constructed / GLIMS / KF 2/19/2018 
Coordinates are for Sumantrui (unverified), North Wall Second Peak (variant), in database.  This corresponds to the W Northwall Firn Remnant in GLIMS (GLIMS ID listed).  In older photographs, it appears that the Northwall Firn was one large mass, so it is difficult to distinguish which GLIMS ID goes to which area.  Additional maps and identifying information are located at https://pubs.usgs.gov/pp/p1386h/indonesia/indonesia.html 
Other GLIMS IDs for Northwall Firn: G137187E04068S - E Northwall Firn ; G137186E04063S - E. Northwall Firn Remnant 1 ; G137160E04050S - W Northwall Firn ; G137165E04054S        - W Northwall Firn remnant ; G137158E04045S - W. Northwall Firn Remnant 3","NGA GeoNames / Constructed / GLIMS / KF 2/19/2018 
Coordinates are for Sumantrui (unverified), North Wall Second Peak (variant), in database.  This corresponds to the W Northwall Firn Remnant in GLIMS (GLIMS ID listed).  In older photographs, it appears that the Northwall Firn was one large mass, so it is difficult to distinguish which GLIMS ID goes to which area.  Additional maps and identifying information are located at https://pubs.usgs.gov/pp/p1386h/indonesia/indonesia.html 
Other GLIMS IDs for Northwall Firn: G137187E04068S - E Northwall Firn ; G137186E04063S - E. Northwall Firn Remnant 1 ; G137160E04050S - W Northwall Firn ; G137165E04054S        - W Northwall Firn remnant ; G137158E04045S - W. Northwall Firn Remnant 3"
Northwestern Glacier,United States,Alaska,59.8733481,-150.0315404,"Northwestern Glacier (Kenai Peninsula, Alaska, United States, North America) (glacier)",G209968E59850N,,GNIS / Getty / GLIMS / 2018/08/21 KF - Seldovia D-1,GNIS / Getty / GLIMS / 2018/08/21 KF - Seldovia D-1
,Norway,,,,Norway (Europe) (nation),,,General coverage for country.,
Notch Creek,United States,Alaska,62.2352778,-142.5283333,"Notch Creek (Valdez-Cordova, Alaska, United States, North America) (creek)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Novaya Zemlya,Russian Federation,Arkhangel'skaya Oblast',74.921525,58.059949,"Novaya Zemlya (Arkhangel'skaya Oblast', Russian Federation, Asia) (island)",,,NGA GeoNames / Constructed / No GLIMS / 11/21/2018 KF,NGA GeoNames / Constructed / No GLIMS / 11/21/2018 KF
Novelty Mine,United States,Wyoming,44.6463344,-109.7854569,"Novelty Mine (Park, Wyoming, United States, North America) (mine)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Nunatak Fiord,United States,Alaska,59.8544444,-139.1525,"Nunatak Fiord (Yakutat, Alaska, United States, North America) (bay)",,,coordinates GNIS Yakutat D-4 map; coverage Getty; no glims verified 2/13/18 AM,coordinates GNIS Yakutat D-4 map; coverage Getty; no glims verified 2/13/18 AM
Nunatak Glacier,United States,Alaska,,,"Nunatak Glacier (Alaska, United States, North America) (glacier)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Nuptse Glacier,Nepal,,27.938,86.862,"Nuptse Glacier (Nepal, Asia) (glacier)",G086862E27938N,,NSIDC coordinates / Constructed / GLIMS / 11/15/2018 KF ,NSIDC coordinates / Constructed / GLIMS / 11/15/2018 KF 
Nutzotin Mountains,United States,Alaska,62.4708333,-142.5402778,"Nutzotin Mountains (Southeast Fairbanks, Alaska, United States, North America) (mountain range)",,,General coverage for mountain range.,
Nuuk,Greenland,Sermersooq,64.183333,-51.75,"Nuuk (Sermersooq, Greenland, North America) (city)",,Godthaab; Godthåb; Nuuk,NGA GeoNames / Constructed / No GLIMS / 10/3/2018 KF,NGA GeoNames / Constructed / No GLIMS / 10/3/2018 KF
Nuyakuk Lake,United States,Alaska,59.8850619,-159.0002189,"Nuyakuk Lake (Dillingham, Alaska, United States, North America) (lake)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Nyack Creek,United States,Montana,48.539691,-113.6259416,"Nyack Creek (Flathead, Montana, United States, North America) (creek)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
O'Higgins Glacier,Chile,,,,"O'Higgins Glacier (Chile, South America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Ober Gabelhorn,Switzerland,Valais,46.03855,7.66805,"Ober Gabelhorn (Sierre District, Valais, Switzerland, Europe) (mountain)",,,coordinates & coverage GeoNames 2/16/19 AM,coordinates & coverage GeoNames 2/16/19 AM
Oberaargletscher,Switzerland,Bern,46.531992,8.20768,"Oberaargletscher (Guttannen, Bern, Switzerland, Europe) (glacier)",G008185E46529N,Oberaargletscher,coordinates & coverage Swiss Glaciers; glims verified 11/07/18 AM,coordinates & coverage Swiss Glaciers; glims verified 11/07/18 AM
Oberaletschgletscher,Switzerland,Valais,46.423623,7.965481,"Oberaletschgletscher (Naters, Valais, Switzerland, Europe) (glacier)",G007964E46423N,Oberaletschgletscher,coordinates & coverage Swiss Glaciers; glims verified 11/07/18 AM,coordinates & coverage Swiss Glaciers; glims verified 11/07/18 AM
Oberer Grindelwaldgletscher,Switzerland,Bern,46.611731,8.117435,"Oberer Grindelwaldgletscher (Grindelwald, Bern, Switzerland, Europe) (glacier)",G008131E46609N,Oberer Grindelwaldgletscher,coordinates & coverage Swiss Glaciers; glims verified 11/07/18 AM,coordinats & coverage Swiss Glaciers; glims verified 11/07/18 AM
Oberlin Falls,United States,Montana,48.6996967,-113.7234481,"Oberlin Falls (Flathead, Montana, United States, North America)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Occidental Glacier,Chile,,-48.81,-73.95,"Occidental Glacier (Chile, South America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
